Number,Name,Type,Height(m),Weight(lbs),BMI,Image Link
679,Honedge,"['Metal', 'Ghost']",0.8,4.4,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/honedge.png
680,Doublade,"['Metal', 'Ghost']",0.8,9.9,4.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/doublade.png
681,Aegislash,"['Metal', 'Ghost']",1.7,116.8,53,https://img.pokemondb.net/sprites/scarlet-violet/icon/aegislash-shield.png
682,Spritzee,['Fairy'],0.2,1.1,0.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/spritzee.png
683,Aromatisse,['Fairy'],0.8,34.2,15.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/aromatisse.png
684,Swirlix,['Fairy'],0.4,7.7,3.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/swirlix.png
685,Slurpuff,['Fairy'],0.8,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/slurpuff.png
686,Inkay,"['Darkness', 'Psychic']",0.4,7.7,3.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/inkay.png
687,Malamar,"['Darkness', 'Psychic']",1.5,103.6,47,https://img.pokemondb.net/sprites/scarlet-violet/icon/malamar.png
688,Binacle,"['Rock', 'Water']",0.5,68.3,31,https://img.pokemondb.net/sprites/scarlet-violet/icon/binacle.png
689,Barbaracle,"['Rock', 'Water']",1.3,211.6,96,https://img.pokemondb.net/sprites/scarlet-violet/icon/barbaracle.png
690,Skrelp,"['Poison', 'Water']",0.5,16.1,7.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/skrelp.png
691,Dragalge,"['Poison', 'Dragon']",1.8,179.7,81.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/dragalge.png
692,Clauncher,['Water'],0.5,18.3,8.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/clauncher.png
693,Clawitzer,['Water'],1.3,77.8,35.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/clawitzer.png
694,Helioptile,"['Electric', 'Normal']",0.5,13.2,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/helioptile.png
695,Heliolisk,"['Electric', 'Normal']",1,46.3,21,https://img.pokemondb.net/sprites/scarlet-violet/icon/heliolisk.png
696,Tyrunt,"['Rock', 'Dragon']",0.8,57.3,26,https://img.pokemondb.net/sprites/scarlet-violet/icon/tyrunt.png
697,Tyrantrum,"['Rock', 'Dragon']",2.5,595.2,270,https://img.pokemondb.net/sprites/scarlet-violet/icon/tyrantrum.png
698,Amaura,"['Rock', 'Ice']",1.3,55.6,25.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/amaura.png
699,Aurorus,"['Rock', 'Ice']",2.7,496,225,https://img.pokemondb.net/sprites/scarlet-violet/icon/aurorus.png
700,Sylveon,['Fairy'],1,51.8,23.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/sylveon.png
701,Hawlucha,"['Fighting', 'Flying']",0.8,47.4,21.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/hawlucha.png
702,Dedenne,"['Electric', 'Fairy']",0.2,4.9,2.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/dedenne.png
703,Carbink,"['Rock', 'Fairy']",0.3,12.6,5.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/carbink.png
704,Goomy,['Dragon'],0.3,6.2,2.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/goomy.png
705,Sliggoo,['Dragon'],0.8,38.6,17.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/sliggoo.png
706,Goodra,['Dragon'],2,331.8,150.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/goodra.png
707,Klefki,"['Metal', 'Fairy']",0.2,6.6,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/klefki.png
708,Phantump,"['Ghost', 'Grass']",0.4,15.4,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/phantump.png
709,Trevenant,"['Ghost', 'Grass']",1.5,156.5,71,https://img.pokemondb.net/sprites/scarlet-violet/icon/trevenant.png
710,Pumpkaboo,"['Ghost', 'Grass']",0.4,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/pumpkaboo-average.png
711,Gourgeist,"['Ghost', 'Grass']",0.9,27.6,12.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/gourgeist-average.png
712,Bergmite,['Ice'],1,219.4,99.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/bergmite.png
713,Avalugg,['Ice'],2,1113.3,505,https://img.pokemondb.net/sprites/scarlet-violet/icon/avalugg.png
714,Noibat,"['Flying', 'Dragon']",0.5,17.6,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/noibat.png
715,Noivern,"['Flying', 'Dragon']",1.5,187.4,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/noivern.png
716,Xerneas,['Fairy'],3,474,215,https://img.pokemondb.net/sprites/scarlet-violet/icon/xerneas.png
717,Yveltal,"['Darkness', 'Flying']",5.8,447.5,203,https://img.pokemondb.net/sprites/scarlet-violet/icon/yveltal.png
718,Zygarde,"['Dragon', 'Ground']",5,672.4,305,https://img.pokemondb.net/sprites/scarlet-violet/icon/zygarde-50.png
719,Diancie,"['Rock', 'Fairy']",0.7,19.4,8.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/diancie.png
720,Hoopa,"['Psychic', 'Ghost']",0.5,19.8,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/hoopa-confined.png
721,Volcanion,"['Fire', 'Water']",1.7,429.9,195,https://img.pokemondb.net/sprites/scarlet-violet/icon/volcanion.png
722,Rowlet,"['Grass', 'Flying']",0.3,3.3,1.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/rowlet.png
723,Dartrix,"['Grass', 'Flying']",0.7,35.3,16,https://img.pokemondb.net/sprites/scarlet-violet/icon/dartrix.png
724,Decidueye,"['Grass', 'Ghost']",1.6,80.7,36.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/decidueye.png
725,Litten,['Fire'],0.4,9.5,4.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/litten.png
726,Torracat,['Fire'],0.7,55.1,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/torracat.png
727,Incineroar,"['Fire', 'Darkness']",1.8,183,83,https://img.pokemondb.net/sprites/scarlet-violet/icon/incineroar.png
728,Popplio,['Water'],0.4,16.5,7.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/popplio.png
729,Brionne,['Water'],0.6,38.6,17.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/brionne.png
730,Primarina,"['Water', 'Fairy']",1.8,97,44,https://img.pokemondb.net/sprites/scarlet-violet/icon/primarina.png
731,Pikipek,"['Normal', 'Flying']",0.3,2.6,1.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikipek.png
732,Trumbeak,"['Normal', 'Flying']",0.6,32.6,14.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/trumbeak.png
733,Toucannon,"['Normal', 'Flying']",1.1,57.3,26,https://img.pokemondb.net/sprites/scarlet-violet/icon/toucannon.png
734,Yungoos,['Normal'],0.4,13.2,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/yungoos.png
735,Gumshoos,['Normal'],0.7,31.3,14.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/gumshoos.png
736,Grubbin,['Bug'],0.4,9.7,4.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/grubbin.png
737,Charjabug,"['Bug', 'Electric']",0.5,23.1,10.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/charjabug.png
738,Vikavolt,"['Bug', 'Electric']",1.5,99.2,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/vikavolt.png
739,Crabrawler,['Fighting'],0.6,15.4,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/crabrawler.png
740,Crabominable,"['Fighting', 'Ice']",1.7,396.8,180,https://img.pokemondb.net/sprites/scarlet-violet/icon/crabominable.png
741,Oricorio,"['Fire', 'Flying']",0.6,7.5,3.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/oricorio-baile.png
742,Cutiefly,"['Bug', 'Fairy']",0.1,0.4,0.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/cutiefly.png
743,Ribombee,"['Bug', 'Fairy']",0.2,1.1,0.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/ribombee.png
744,Rockruff,['Rock'],0.5,20.3,9.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/rockruff.png
745,Lycanroc,['Rock'],0.8,55.1,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/lycanroc-midday.png
746,Wishiwashi,['Water'],0.2,0.7,0.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/wishiwashi-solo.png
747,Mareanie,"['Poison', 'Water']",0.4,17.6,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/mareanie.png
748,Toxapex,"['Poison', 'Water']",0.7,32,14.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/toxapex.png
749,Mudbray,['Ground'],1,242.5,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/mudbray.png
750,Mudsdale,['Ground'],2.5,2028.3,920,https://img.pokemondb.net/sprites/scarlet-violet/icon/mudsdale.png
751,Dewpider,"['Water', 'Bug']",0.3,8.8,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/dewpider.png
752,Araquanid,"['Water', 'Bug']",1.8,180.8,82,https://img.pokemondb.net/sprites/scarlet-violet/icon/araquanid.png
753,Fomantis,['Grass'],0.3,3.3,1.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/fomantis.png
754,Lurantis,['Grass'],0.9,40.8,18.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/lurantis.png
755,Morelull,"['Grass', 'Fairy']",0.2,3.3,1.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/morelull.png
756,Shiinotic,"['Grass', 'Fairy']",1,25.4,11.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/shiinotic.png
757,Salandit,"['Poison', 'Fire']",0.6,10.6,4.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/salandit.png
758,Salazzle,"['Poison', 'Fire']",1.2,48.9,22.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/salazzle.png
759,Stufful,"['Normal', 'Fighting']",0.5,15,6.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/stufful.png
760,Bewear,"['Normal', 'Fighting']",2.1,297.6,135,https://img.pokemondb.net/sprites/scarlet-violet/icon/bewear.png
761,Bounsweet,['Grass'],0.3,7.1,3.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/bounsweet.png
762,Steenee,['Grass'],0.7,18.1,8.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/steenee.png
763,Tsareena,['Grass'],1.2,47.2,21.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/tsareena.png
764,Comfey,['Fairy'],0.1,0.7,0.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/comfey.png
765,Oranguru,"['Normal', 'Psychic']",1.5,167.6,76,https://img.pokemondb.net/sprites/scarlet-violet/icon/oranguru.png
766,Passimian,['Fighting'],2,182.5,82.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/passimian.png
767,Wimpod,"['Bug', 'Water']",0.5,26.5,12,https://img.pokemondb.net/sprites/scarlet-violet/icon/wimpod.png
768,Golisopod,"['Bug', 'Water']",2,238.1,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/golisopod.png
769,Sandygast,"['Ghost', 'Ground']",0.5,154.3,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandygast.png
770,Palossand,"['Ghost', 'Ground']",1.3,551.2,250,https://img.pokemondb.net/sprites/scarlet-violet/icon/palossand.png
771,Pyukumuku,['Water'],0.3,2.6,1.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/pyukumuku.png
772,Type: Null,['Normal'],1.9,265.7,120.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/type-null.png
773,Silvally,['Normal'],2.3,221.6,100.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/silvally.png
774,Minior,"['Rock', 'Flying']",0.3,88.2,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/minior-meteor.png
775,Komala,['Normal'],0.4,43.9,19.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/komala.png
776,Turtonator,"['Fire', 'Dragon']",2,467.4,212,https://img.pokemondb.net/sprites/scarlet-violet/icon/turtonator.png
777,Togedemaru,"['Electric', 'Metal']",0.3,7.3,3.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/togedemaru.png
778,Mimikyu,"['Ghost', 'Fairy']",0.2,1.5,0.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/mimikyu.png
779,Bruxish,"['Water', 'Psychic']",0.9,41.9,19,https://img.pokemondb.net/sprites/scarlet-violet/icon/bruxish.png
780,Drampa,"['Normal', 'Dragon']",3,407.9,185,https://img.pokemondb.net/sprites/scarlet-violet/icon/drampa.png
781,Dhelmise,"['Ghost', 'Grass']",3.9,463,210,https://img.pokemondb.net/sprites/scarlet-violet/icon/dhelmise.png
782,Jangmo-o,['Dragon'],0.6,65.5,29.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/jangmo-o.png
783,Hakamo-o,"['Dragon', 'Fighting']",1.2,103.6,47,https://img.pokemondb.net/sprites/scarlet-violet/icon/hakamo-o.png
784,Kommo-o,"['Dragon', 'Fighting']",1.6,172.4,78.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/kommo-o.png
785,Tapu Koko,"['Electric', 'Fairy']",1.8,45.2,20.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/tapu-koko.png
786,Tapu Lele,"['Psychic', 'Fairy']",1.2,41,18.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/tapu-lele.png
787,Tapu Bulu,"['Grass', 'Fairy']",1.9,100.3,45.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/tapu-bulu.png
788,Tapu Fini,"['Water', 'Fairy']",1.3,46.7,21.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/tapu-fini.png
789,Cosmog,['Psychic'],0.2,0.2,0.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/cosmog.png
790,Cosmoem,['Psychic'],0.1,2204.4,999.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/cosmoem.png
791,Solgaleo,"['Psychic', 'Metal']",3.4,507.1,230,https://img.pokemondb.net/sprites/scarlet-violet/icon/solgaleo.png
792,Lunala,"['Psychic', 'Ghost']",4,264.6,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/lunala.png
793,Nihilego,"['Rock', 'Poison']",1.2,122.4,55.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/nihilego.png
794,Buzzwole,"['Bug', 'Fighting']",2.4,735.5,333.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/buzzwole.png
795,Pheromosa,"['Bug', 'Fighting']",1.8,55.1,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/pheromosa.png
796,Xurkitree,['Electric'],3.8,220.5,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/xurkitree.png
797,Celesteela,"['Metal', 'Flying']",9.2,2204.4,999.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/celesteela.png
798,Kartana,"['Grass', 'Metal']",0.3,0.2,0.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/kartana.png
799,Guzzlord,"['Darkness', 'Dragon']",5.5,1957.7,888,https://img.pokemondb.net/sprites/scarlet-violet/icon/guzzlord.png
800,Necrozma,['Psychic'],2.4,507.1,230,https://img.pokemondb.net/sprites/scarlet-violet/icon/necrozma.png
801,Magearna,"['Metal', 'Fairy']",1,177.5,80.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/magearna.png
802,Marshadow,"['Fighting', 'Ghost']",0.7,48.9,22.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/marshadow.png
803,Poipole,['Poison'],0.6,4,1.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/poipole.png
804,Naganadel,"['Poison', 'Dragon']",3.6,330.7,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/naganadel.png
805,Stakataka,"['Rock', 'Metal']",5.5,1807.8,820,https://img.pokemondb.net/sprites/scarlet-violet/icon/stakataka.png
806,Blacephalon,"['Fire', 'Ghost']",1.8,28.7,13,https://img.pokemondb.net/sprites/scarlet-violet/icon/blacephalon.png
807,Zeraora,['Electric'],1.5,98.1,44.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/zeraora.png
808,Meltan,['Metal'],0.2,17.6,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/meltan.png
809,Melmetal,['Metal'],2.5,1763.7,800,https://img.pokemondb.net/sprites/scarlet-violet/icon/melmetal.png
810,Grookey,['Grass'],0.3,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/grookey.png
811,Thwackey,['Grass'],0.7,30.9,14,https://img.pokemondb.net/sprites/scarlet-violet/icon/thwackey.png
812,Rillaboom,['Grass'],2.1,198.4,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/rillaboom.png
813,Scorbunny,['Fire'],0.3,9.9,4.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/scorbunny.png
814,Raboot,['Fire'],0.6,19.8,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/raboot.png
815,Cinderace,['Fire'],1.4,72.8,33,https://img.pokemondb.net/sprites/scarlet-violet/icon/cinderace.png
816,Sobble,['Water'],0.3,8.8,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/sobble.png
817,Drizzile,['Water'],0.7,25.4,11.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/drizzile.png
818,Inteleon,['Water'],1.9,99.6,45.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/inteleon.png
819,Skwovet,['Normal'],0.3,5.5,2.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/skwovet.png
820,Greedent,['Normal'],0.6,13.2,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/greedent.png
821,Rookidee,['Flying'],0.2,4,1.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/rookidee.png
822,Corvisquire,['Flying'],0.8,35.3,16,https://img.pokemondb.net/sprites/scarlet-violet/icon/corvisquire.png
823,Corviknight,"['Flying', 'Metal']",2.2,165.3,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/corviknight.png
824,Blipbug,['Bug'],0.4,17.6,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/blipbug.png
825,Dottler,"['Bug', 'Psychic']",0.4,43,19.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/dottler.png
826,Orbeetle,"['Bug', 'Psychic']",0.4,89.9,40.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/orbeetle.png
827,Nickit,['Darkness'],0.6,19.6,8.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/nickit.png
828,Thievul,['Darkness'],1.2,43.9,19.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/thievul.png
829,Gossifleur,['Grass'],0.4,4.9,2.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/gossifleur.png
830,Eldegoss,['Grass'],0.5,5.5,2.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/eldegoss.png
831,Wooloo,['Normal'],0.6,13.2,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/wooloo.png
832,Dubwool,['Normal'],1.3,94.8,43,https://img.pokemondb.net/sprites/scarlet-violet/icon/dubwool.png
833,Chewtle,['Water'],0.3,18.7,8.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/chewtle.png
834,Drednaw,"['Water', 'Rock']",1,254.6,115.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/drednaw.png
835,Yamper,['Electric'],0.3,29.8,13.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/yamper.png
836,Boltund,['Electric'],1,75,34,https://img.pokemondb.net/sprites/scarlet-violet/icon/boltund.png
837,Rolycoly,['Rock'],0.3,26.5,12,https://img.pokemondb.net/sprites/scarlet-violet/icon/rolycoly.png
838,Carkol,"['Rock', 'Fire']",1.1,172,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/carkol.png
839,Coalossal,"['Rock', 'Fire']",2.8,684.5,310.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/coalossal.png
840,Applin,"['Grass', 'Dragon']",0.2,1.1,0.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/applin.png
841,Flapple,"['Grass', 'Dragon']",0.3,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/flapple.png
842,Appletun,"['Grass', 'Dragon']",0.4,28.7,13,https://img.pokemondb.net/sprites/scarlet-violet/icon/appletun.png
843,Silicobra,['Ground'],2.2,16.8,7.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/silicobra.png
844,Sandaconda,['Ground'],3.8,144.4,65.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandaconda.png
845,Cramorant,"['Flying', 'Water']",0.8,39.7,18,https://img.pokemondb.net/sprites/scarlet-violet/icon/cramorant.png
846,Arrokuda,['Water'],0.5,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/arrokuda.png
847,Barraskewda,['Water'],1.3,66.1,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/barraskewda.png
848,Toxel,"['Electric', 'Poison']",0.4,24.3,11,https://img.pokemondb.net/sprites/scarlet-violet/icon/toxel.png
849,Toxtricity,"['Electric', 'Poison']",1.6,88.2,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/toxtricity-amped.png
850,Sizzlipede,"['Fire', 'Bug']",0.7,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/sizzlipede.png
851,Centiskorch,"['Fire', 'Bug']",3,264.6,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/centiskorch.png
852,Clobbopus,['Fighting'],0.6,8.8,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/clobbopus.png
853,Grapploct,['Fighting'],1.6,86,39,https://img.pokemondb.net/sprites/scarlet-violet/icon/grapploct.png
854,Sinistea,['Ghost'],0.1,0.4,0.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/sinistea.png
855,Polteageist,['Ghost'],0.2,0.9,0.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/polteageist.png
856,Hatenna,['Psychic'],0.4,7.5,3.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/hatenna.png
857,Hattrem,['Psychic'],0.6,10.6,4.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/hattrem.png
858,Hatterene,"['Psychic', 'Fairy']",2.1,11.2,5.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/hatterene.png
859,Impidimp,"['Darkness', 'Fairy']",0.4,12.1,5.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/impidimp.png
860,Morgrem,"['Darkness', 'Fairy']",0.8,27.6,12.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/morgrem.png
861,Grimmsnarl,"['Darkness', 'Fairy']",1.5,134.5,61,https://img.pokemondb.net/sprites/scarlet-violet/icon/grimmsnarl.png
862,Obstagoon,"['Darkness', 'Normal']",1.6,101.4,46,https://img.pokemondb.net/sprites/scarlet-violet/icon/obstagoon.png
863,Perrserker,['Metal'],0.8,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/perrserker.png
864,Cursola,['Ghost'],1,0.9,0.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/cursola.png
865,Sirfetch'd,['Fighting'],0.8,257.9,117,https://img.pokemondb.net/sprites/scarlet-violet/icon/sirfetchd.png
866,Mr. Rime,"['Ice', 'Psychic']",1.5,128.3,58.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-rime.png
867,Runerigus,"['Ground', 'Ghost']",1.6,146.8,66.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/runerigus.png
868,Milcery,['Fairy'],0.2,0.7,0.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/milcery.png
869,Alcremie,['Fairy'],0.3,1.1,0.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/alcremie.png
870,Falinks,['Fighting'],3,136.7,62,https://img.pokemondb.net/sprites/scarlet-violet/icon/falinks.png
871,Pincurchin,['Electric'],0.3,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/pincurchin.png
872,Snom,"['Ice', 'Bug']",0.3,8.4,3.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/snom.png
873,Frosmoth,"['Ice', 'Bug']",1.3,92.6,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/frosmoth.png
874,Stonjourner,['Rock'],2.5,1146.4,520,https://img.pokemondb.net/sprites/scarlet-violet/icon/stonjourner.png
875,Eiscue,['Ice'],1.4,196.2,89,https://img.pokemondb.net/sprites/scarlet-violet/icon/eiscue-ice.png
876,Indeedee,"['Psychic', 'Normal']",0.9,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/indeedee-male.png
877,Morpeko,"['Electric', 'Darkness']",0.3,6.6,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/morpeko-full-belly.png
878,Cufant,['Metal'],1.2,220.5,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/cufant.png
879,Copperajah,['Metal'],3,1433,650,https://img.pokemondb.net/sprites/scarlet-violet/icon/copperajah.png
880,Dracozolt,"['Electric', 'Dragon']",1.8,418.9,190,https://img.pokemondb.net/sprites/scarlet-violet/icon/dracozolt.png
881,Arctozolt,"['Electric', 'Ice']",2.3,330.7,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/arctozolt.png
882,Dracovish,"['Water', 'Dragon']",2.3,474,215,https://img.pokemondb.net/sprites/scarlet-violet/icon/dracovish.png
883,Arctovish,"['Water', 'Ice']",2,385.8,175,https://img.pokemondb.net/sprites/scarlet-violet/icon/arctovish.png
884,Duraludon,"['Metal', 'Dragon']",1.8,88.2,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/duraludon.png
885,Dreepy,"['Dragon', 'Ghost']",0.5,4.4,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/dreepy.png
886,Drakloak,"['Dragon', 'Ghost']",1.4,24.3,11,https://img.pokemondb.net/sprites/scarlet-violet/icon/drakloak.png
887,Dragapult,"['Dragon', 'Ghost']",3,110.2,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/dragapult.png
888,Zacian,['Fairy'],2.8,242.5,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/zacian-hero.png
889,Zamazenta,['Fighting'],2.9,463,210,https://img.pokemondb.net/sprites/scarlet-violet/icon/zamazenta-hero.png
890,Eternatus,"['Poison', 'Dragon']",20,2094.4,950,https://img.pokemondb.net/sprites/scarlet-violet/icon/eternatus.png
891,Kubfu,['Fighting'],0.6,26.5,12,https://img.pokemondb.net/sprites/scarlet-violet/icon/kubfu.png
892,Urshifu,"['Fighting', 'Darkness']",1.9,231.5,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/urshifu-single-strike.png
893,Zarude,"['Darkness', 'Grass']",1.8,154.3,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/zarude.png
894,Regieleki,['Electric'],1.2,319.7,145,https://img.pokemondb.net/sprites/scarlet-violet/icon/regieleki.png
895,Regidrago,['Dragon'],2.1,440.9,200,https://img.pokemondb.net/sprites/scarlet-violet/icon/regidrago.png
896,Glastrier,['Ice'],2.2,1763.7,800,https://img.pokemondb.net/sprites/scarlet-violet/icon/glastrier.png
897,Spectrier,['Ghost'],2,98.1,44.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/spectrier.png
898,Calyrex,"['Psychic', 'Grass']",1.1,17,7.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/calyrex.png
